Info 0    [17:40:56.003] Starting TS Server
Info 1    [17:40:56.042] Version: 4.2.2
Info 2    [17:40:56.042] Arguments: /usr/bin/node /usr/bin/tsserver --logFile /home/tony/Documents/react/dnd/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/786815ab1eb868d78b59a5e70189bbde/tscancellation*
Info 3    [17:40:56.042] Platform: linux NodeVersion: 15 CaseSensitive: true
Info 4    [17:40:56.042] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [17:40:56.074] Search path: /home/tony/Documents/react/dnd/src/components
Info 6    [17:40:56.076] For info: /home/tony/Documents/react/dnd/src/components/index.jsx :: No config files found.
Info 7    [17:40:56.084] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [17:41:10.370] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 14285.786770999897ms
Info 9    [17:41:10.371] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [17:41:10.371] 	Files (430)

Info 11   [17:41:10.371] -----------------------------------------------
Info 12   [17:41:10.431] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 13   [17:41:12.555] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true Elapsed: 2123.66097600013ms
Info 14   [17:41:12.555] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 15   [17:41:12.555] 	Files (90)

Info 16   [17:41:12.555] -----------------------------------------------
Info 17   [17:41:12.635] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [17:41:12.685] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 49.99357599997893ms
Info 19   [17:41:12.685] Different program with same set of files:: structureIsReused:: 2
Info 20   [17:41:12.995] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [17:41:13.057] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 61.97145499987528ms
Info 22   [17:41:13.057] Different program with same set of files:: structureIsReused:: 2
Info 23   [17:41:13.280] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [17:41:13.328] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 48.37918800022453ms
Info 25   [17:41:13.328] Different program with same set of files:: structureIsReused:: 2
Info 26   [17:41:13.646] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [17:41:13.686] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 39.56197699997574ms
Info 28   [17:41:13.686] Different program with same set of files:: structureIsReused:: 2
Info 29   [17:41:13.913] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 30   [17:41:13.951] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 37.68409999972209ms
Info 31   [17:41:13.951] Different program with same set of files:: structureIsReused:: 2
Info 32   [17:41:14.135] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [17:41:14.164] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 28.860537000000477ms
Info 34   [17:41:14.164] Different program with same set of files:: structureIsReused:: 2
Info 35   [17:41:14.332] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [17:41:14.375] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 43.65673599997535ms
Info 37   [17:41:14.376] Different program with same set of files:: structureIsReused:: 2
Info 38   [17:41:14.827] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 39   [17:41:14.970] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: true Elapsed: 143.53830799972638ms
Info 40   [17:41:14.971] Different program with same set of files:: structureIsReused:: 0
Info 41   [17:41:17.328] Before ensureProjectForOpenFiles:
Info 42   [17:41:17.328] After ensureProjectForOpenFiles:
Info 43   [17:41:17.329] got projects updated in background, updating diagnostics for /home/tony/Documents/react/dnd/src/components/index.jsx
Info 44   [17:41:30.388] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 45   [17:41:30.422] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 32.93172200024128ms
Info 46   [17:41:30.422] Different program with same set of files:: structureIsReused:: 2
Info 47   [17:41:31.356] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 48   [17:41:31.419] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 62.4426959999837ms
Info 49   [17:41:31.419] Different program with same set of files:: structureIsReused:: 2
Info 50   [17:41:32.330] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 51   [17:41:32.402] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 71.97418100014329ms
Info 52   [17:41:32.402] Different program with same set of files:: structureIsReused:: 2
Info 53   [17:41:46.503] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 54   [17:41:46.566] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 63.07932200003415ms
Info 55   [17:41:46.566] Different program with same set of files:: structureIsReused:: 2
Info 56   [17:41:48.247] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 57   [17:41:48.314] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 66.88470600033179ms
Info 58   [17:41:48.314] Different program with same set of files:: structureIsReused:: 2
Info 59   [17:41:48.560] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 60   [17:41:48.607] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 47.50337600009516ms
Info 61   [17:41:48.607] Different program with same set of files:: structureIsReused:: 2
Info 62   [17:41:48.945] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 63   [17:41:49.038] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 93.2058230000548ms
Info 64   [17:41:49.038] Different program with same set of files:: structureIsReused:: 2
Info 65   [17:41:49.041] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 66   [17:41:49.090] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 48.94881899980828ms
Info 67   [17:41:49.090] Different program with same set of files:: structureIsReused:: 2
Info 68   [17:41:49.876] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 69   [17:41:49.944] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 67.09573299996555ms
Info 70   [17:41:49.944] Different program with same set of files:: structureIsReused:: 2
Info 71   [17:41:49.945] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 72   [17:41:49.987] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 41.37595300003886ms
Info 73   [17:41:49.987] Different program with same set of files:: structureIsReused:: 2
Info 74   [17:41:50.392] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 75   [17:41:50.440] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 47.527203999925405ms
Info 76   [17:41:50.440] Different program with same set of files:: structureIsReused:: 2
Info 77   [17:41:50.647] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 78   [17:41:50.667] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 19.939889000263065ms
Info 79   [17:41:50.667] Different program with same set of files:: structureIsReused:: 2
Info 80   [17:41:50.920] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 81   [17:41:50.940] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 20.469650000333786ms
Info 82   [17:41:50.940] Different program with same set of files:: structureIsReused:: 2
Info 83   [17:41:51.191] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 84   [17:41:51.211] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 20.638629000168294ms
Info 85   [17:41:51.211] Different program with same set of files:: structureIsReused:: 2
Info 86   [17:41:51.233] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 87   [17:41:51.260] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 26.457448000088334ms
Info 88   [17:41:51.260] Different program with same set of files:: structureIsReused:: 2
Info 89   [17:41:51.297] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 90   [17:41:51.317] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 19.947571999859065ms
Info 91   [17:41:51.317] Different program with same set of files:: structureIsReused:: 2
Info 92   [17:41:51.362] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 93   [17:41:51.384] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 22.32194499997422ms
Info 94   [17:41:51.384] Different program with same set of files:: structureIsReused:: 2
Info 95   [17:42:04.541] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 96   [17:42:04.595] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 53.74888399988413ms
Info 97   [17:42:04.595] Different program with same set of files:: structureIsReused:: 2
Info 98   [17:42:05.611] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 99   [17:42:05.667] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 56.02851299988106ms
Info 100  [17:42:05.667] Different program with same set of files:: structureIsReused:: 2
Info 101  [17:42:10.639] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 102  [17:42:10.690] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 50.86925200000405ms
Info 103  [17:42:10.690] Different program with same set of files:: structureIsReused:: 2
Info 104  [17:42:12.037] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 105  [17:42:12.066] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false Elapsed: 28.381937000434846ms
Info 106  [17:42:12.066] Different program with same set of files:: structureIsReused:: 2
Info 107  [17:42:12.236] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 108  [17:42:12.256] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 20.16541300015524ms
Info 109  [17:42:12.256] Different program with same set of files:: structureIsReused:: 2
Info 110  [17:42:12.476] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 111  [17:42:12.503] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 26.938136000186205ms
Info 112  [17:42:12.503] Different program with same set of files:: structureIsReused:: 2
Info 113  [17:42:13.085] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 114  [17:42:13.105] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 19.46890900004655ms
Info 115  [17:42:13.105] Different program with same set of files:: structureIsReused:: 2
Info 116  [17:42:13.288] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 117  [17:42:13.311] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 23.055021000094712ms
Info 118  [17:42:13.311] Different program with same set of files:: structureIsReused:: 2
Info 119  [17:42:14.055] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 120  [17:42:14.126] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false Elapsed: 71.0585680003278ms
Info 121  [17:42:14.126] Different program with same set of files:: structureIsReused:: 2
Info 122  [17:42:14.361] getCompletionData: Get current token: 0.03383699990808964
Info 123  [17:42:14.361] getCompletionData: Is inside comment: 0.022357000038027763
Info 124  [17:42:14.361] getCompletionData: Get previous token 1: 0.12722800020128489
Info 125  [17:42:14.361] getCompletionData: Get previous token 2: 0.12396200001239777
Info 126  [17:42:14.362] getCompletionsAtPosition: isCompletionListBlocker: 0.33870299998670816
Info 127  [17:42:14.365] getCompletionData: Semantic work: 2.9253459996543825
Info 128  [17:42:14.368] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 2.8832720001228154
Info 129  [17:42:14.465] getCompletionData: Get current token: 0.025708999950438738
Info 130  [17:42:14.465] getCompletionData: Is inside comment: 0.012052000034600496
Info 131  [17:42:14.465] getCompletionData: Get previous token 1: 0.1123259998857975
Info 132  [17:42:14.465] getCompletionData: Get previous token 2: 0.12232299987226725
Info 133  [17:42:14.465] getCompletionsAtPosition: isCompletionListBlocker: 0.005386999808251858
Info 134  [17:42:14.466] getCompletionData: Semantic work: 0.4540359997190535
Info 135  [17:42:14.467] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.6698770001530647
Info 136  [17:42:14.467] getCompletionData: Get current token: 0.024827999994158745
Info 137  [17:42:14.467] getCompletionData: Is inside comment: 0.009189999662339687
Info 138  [17:42:14.467] getCompletionData: Get previous token 1: 0.10453799972310662
Info 139  [17:42:14.468] getCompletionData: Get previous token 2: 0.10644799983128905
Info 140  [17:42:14.468] getCompletionsAtPosition: isCompletionListBlocker: 0.0049390001222491264
Info 141  [17:42:14.469] getCompletionData: Semantic work: 0.38697100011631846
Info 142  [17:42:14.470] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.6912169996649027
Info 143  [17:42:14.473] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 144  [17:42:14.501] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false Elapsed: 28.55718499980867ms
Info 145  [17:42:14.501] Different program with same set of files:: structureIsReused:: 2
Info 146  [17:42:14.505] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 147  [17:42:14.526] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false Elapsed: 20.54473700001836ms
